city,2020,2021,2022,2023,2024,% 2020 to 2021 Eviction Change,% 2021 to 2022 Eviction Change,% 2022 to 2023 Eviction Change,% 2023 to 2024 Eviction Change,% Yearly Change
Allston,50,94,46,4,0,0.88,-0.5106382978723404,-0.9130434782608695,-1.0,-0.3859204440333025
Brighton,67,101,97,2,2,0.5074626865671642,-0.039603960396039604,-0.979381443298969,0.0,-0.12788067928196112
Charlestown,26,17,24,0,0,-0.34615384615384615,0.4117647058823529,-1.0,,-0.3114630467571644
Dorchester,415,505,420,27,3,0.21686746987951808,-0.16831683168316833,-0.9357142857142857,-0.8888888888888888,-0.4440131341017062
East Boston,62,144,128,7,0,1.3225806451612903,-0.1111111111111111,-0.9453125,-1.0,-0.18346074148745523
Hyde Park,137,213,114,5,0,0.5547445255474452,-0.4647887323943662,-0.956140350877193,-1.0,-0.46654613943102846
Jamaica Plain,84,147,114,6,0,0.75,-0.22448979591836735,-0.9473684210526315,-1.0,-0.3554645542427497
Mattapan,146,122,183,7,0,-0.1643835616438356,0.5,-0.9617486338797814,-1.0,-0.40653304888090425
Roslindale,21,45,51,0,0,1.1428571428571428,0.13333333333333333,-1.0,,0.09206349206349203
Roxbury,210,142,159,25,0,-0.3238095238095238,0.11971830985915492,-0.8427672955974843,-1.0,-0.5117146273869633
South Boston,49,24,45,0,0,-0.5102040816326531,0.875,-1.0,,-0.21173469387755103
West Roxbury,13,38,36,5,0,1.9230769230769231,-0.05263157894736842,-0.8611111111111112,-1.0,0.0023335582546109013
